Station Name,Month,Period,No. of Years,Mean Temperature in degree C - Maximum,Mean Temperature  in degree C - Minimum,Mean Rainfall in mm,Latitude,Longitude
Bhuj (Rudramata),February,1953-2000,47,30.1,11.8,1.5,23.2500,69.6700
Bhuj (Rudramata),March,1953-2000,47,35.1,17.4,2.1,23.2500,69.6700
Bhuj (Rudramata),April,1953-2000,47,38.8,22,1.1,23.2500,69.6700
Bhuj (Rudramata),May,1953-2000,47,39.6,25.3,7.5,23.2500,69.6700
Bhuj (Rudramata),June,1953-2000,47,37.5,27.1,38,23.2500,69.6700
Bhuj (Rudramata),July,1953-2000,47,34,26.3,125.7,23.2500,69.6700
Bhuj (Rudramata),August,1953-2000,47,32.8,25.3,103.5,23.2500,69.6700
Bhuj (Rudramata),September,1953-2000,47,34.3,23.9,63.1,23.2500,69.6700
Bhuj (Rudramata),October,1953-2000,47,36.4,20.7,19.7,23.2500,69.6700
Bhuj (Rudramata),November,1953-2000,47,32.7,15.1,8.5,23.2500,69.6700
Bhuj (Rudramata),December,1953-2000,47,28.4,10.1,1,23.2500,69.6700
Bikaner,January,1901-2000,97,22.6,6.5,5.7,28.0108,73.3210
Bikaner,February,1901-2000,97,25.8,9.6,7.8,28.0108,73.3210
Bikaner,March,1901-2000,97,31.9,15.7,6.3,28.0108,73.3210
Bikaner,April,1901-2000,97,37.7,22,11.9,28.0108,73.3210
Bikaner,May,1901-2000,97,41.8,27.1,15.9,28.0108,73.3210
Bikaner,June,1901-2000,97,41.7,29.3,33,28.0108,73.3210
Bikaner,July,1901-2000,97,38.4,28.1,91.1,28.0108,73.3210
Bikaner,August,1901-2000,97,36.5,26.8,82.6,28.0108,73.3210
Bikaner,September,1901-2000,97,36.7,25.2,40.8,28.0108,73.3210
Bikaner,October,1901-2000,97,35.8,20,10.1,28.0108,73.3210
Bikaner,November,1901-2000,97,30.4,12.4,1.9,28.0108,73.3210
Bikaner,December,1901-2000,97,24.7,7.4,3,28.0108,73.3210
Cannanore,January,1978-2000,22,32.7,21.5,4.8,11.8608,75.4140
Cannanore,February,1978-2000,22,33.1,22.3,0.2,11.8608,75.4140
Cannanore,March,1978-2000,22,33.6,24.1,52.3,11.8608,75.4140
Cannanore,April,1978-2000,22,34.1,25.6,41.7,11.8608,75.4140
Cannanore,May,1978-2000,22,33.3,25.3,206.6,11.8608,75.4140
Cannanore,June,1978-2000,22,29.6,23.6,1048.1,11.8608,75.4140
Cannanore,July,1978-2000,22,28.9,23.1,875.5,11.8608,75.4140
Cannanore,August,1978-2000,22,29,23.1,574.4,11.8608,75.4140
Cannanore,September,1978-2000,22,30.1,23.4,200.8,11.8608,75.4140
Cannanore,October,1978-2000,22,31,23.5,221.7,11.8608,75.4140
Cannanore,November,1978-2000,22,32,23,103.3,11.8608,75.4140
Cannanore,December,1978-2000,22,32.5,22,36.5,11.8608,75.4140
Chandigarh,January,1954-1977,24,20.4,6.1,46.6,30.7333,76.7794
Chandigarh,February,1954-1977,24,23.1,8.3,33.9,30.7333,76.7794
Chandigarh,March,1954-1977,24,28.5,13.4,29.3,30.7333,76.7794
Chandigarh,April,1954-1977,24,34.5,18.9,11.3,30.7333,76.7794
Chandigarh,May,1954-1977,24,38.3,23.2,24.2,30.7333,76.7794
Chandigarh,June,1954-1977,24,38.6,25.4,112.6,30.7333,76.7794
Chandigarh,July,1954-1977,24,34,24,276.3,30.7333,76.7794
Chandigarh,August,1954-1977,24,32.8,23.3,282.8,30.7333,76.7794
Chandigarh,September,1954-1977,24,33.1,21.8,179,30.7333,76.7794
Chandigarh,October,1954-1977,24,31.8,17,41.6,30.7333,76.7794
